LUN,label,size_in_kb,type,bootable,readonly,filename,system,sparse
4,last_parti,0,00000000-0000-0000-0000-000000000000,false,true,,,
5,ALIGN_TO_128K_2,104,6891a3b7-0ccc-4705-bb53-2673cac193bd,false,true,,,
5,aop_b,256,B8B27C4C-4B5B-8AB2-502F-A792B590A896,false,false,aop.mbn,,
5,tz_b,4000,C832EA16-8B0D-4398-A67B-EBB30EF98E7E,false,false,tz.mbn,,
5,hyp_b,65536,3D3E3AD2-8FF3-4975-A7E7-0E8A10B69F0D,false,false,mifs_hyp_la.img,,
5,BACKUP_TZAPPS,320,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,,,,true,
5,modem_b,184320,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,NON-HLOS.bin,,
5,core_nhlos_b,122880,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,,,,true,
5,mdtpsecapp_b,4096,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,,,
5,mdtp_b,32768,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,,,
5,abl_b,1024,0FFB67A4-7A7F-4D08-BBF5-E20A8A68560B,false,true,abl_fastboot.elf,,
5,dsp_b,65536,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,dspso.bin,,
5,boot_b,65536,20117F86-E985-4357-B9EE-374BC1D8487D,false,false,boot_la.img,,
5,cmnlib_b,512,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,,,
5,cmnlib64_b,1024,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,,,
5,devcfg_b,128,4E820A31-17E3-447D-B32D-FB339F7EA1A2,false,false,devcfg_auto.mbn,,
5,qupfw_b,128,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,false,,,
5,dtbo_b,24576,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,false,,,
5,cpucp_b,1024,6C1111FB-5354-41DE-AC17-5B6E542BE836,false,false,cpucp.elf,,
5,apdp_b,64,110F198D-8174-4193-9AF1-5DA94CDC59C9,,,,true,
5,multiimgoem_b,32,3E3E3ECD-C512-4F95-9144-6063826A8970,false,true,multi_image.mbn,,
5,imagefv_b,1024,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,imagefv.elf,,
5,shrm_b,80,39FD6C00-49EB-6BD1-6899-2FB849DD4F75,false,true,shrm.elf,,
5,usb4fw_b,61,77036CD4-03D5-42BB-8ED1-37E5A88BAA34,false,true,,,
5,hyp_mos_b,65536,9b2beb31-b0ab-6343-8caa-cd5b5d24e699,false,false,,,
5,abl_mos_b,1024,a92f78f9-a02d-5649-9769-58f583ac51e2,false,true,,,
